,pack,id,group,filename,bleed_id
0,S6H,1,1132,hk00000870.png,
1,S6H,2,1133,hk00000871.png,
2,S6H,3,1286,hk00000872.png,
3,S6H,4,1287,hk00000873.png,
4,S6H,5,1134,hk00000874.png,
5,S6H,6,1135,hk00000875.png,
6,S6H,7,1136,hk00000876.png,
7,S6H,8,1137,hk00000877.png,
8,S6H,9,1138,hk00000878.png,
9,S6H,10,1141,hk00000879.png,
10,S6H,11,1144,hk00000880.png,
11,S6H,12,1296,hk00000881.png,
12,S6H,13,1297,hk00000882.png,
13,S6H,14,1147,hk00000883.png,
14,S6H,15,1148,hk00000884.png,
15,S6H,16,1149,hk00000885.png,
16,S6H,17,104,hk00000886.png,
17,S6H,18,1150,hk00000887.png,
18,S6H,19,1155,hk00000888.png,
19,S6H,20,1156,hk00000889.png,
20,S6H,21,1157,hk00000890.png,
21,S6H,22,1158,hk00000891.png,
22,S6H,23,1159,hk00000892.png,
23,S6H,24,1160,hk00000893.png,
24,S6H,25,1317,hk00000894.png,
25,S6H,26,1318,hk00000895.png,
26,S6H,27,1165,hk00000896.png,
27,S6H,28,1166,hk00000897.png,
28,S6H,29,103,hk00000898.png,
29,S6H,30,1173,hk00000899.png,
30,S6H,31,1332,hk00000900.png,
31,S6H,32,1333,hk00000901.png,
32,S6H,33,1178,hk00000902.png,
33,S6H,34,1179,hk00000903.png,
34,S6H,35,1180,hk00000904.png,
35,S6H,36,1181,hk00000905.png,
36,S6H,37,1182,hk00000906.png,
37,S6H,38,1351,hk00000907.png,
38,S6H,39,1352,hk00000908.png,
39,S6H,40,1199,hk00000909.png,
40,S6H,41,1204,hk00000910.png,
41,S6H,42,1205,hk00000911.png,
42,S6H,43,1206,hk00000912.png,
43,S6H,44,1207,hk00000913.png,
44,S6H,45,1215,hk00000914.png,
45,S6H,46,1218,hk00000915.png,
46,S6H,47,1221,hk00000916.png,
47,S6H,48,1226,hk00000917.png,
48,S6H,49,1227,hk00000918.png,
49,S6H,50,1228,hk00000919.png,
50,S6H,51,1232,hk00000920.png,
51,S6H,52,1233,hk00000921.png,
52,S6H,53,1234,hk00000922.png,
53,S6H,54,1235,hk00000923.png,
54,S6H,55,1388,hk00000924.png,
55,S6H,56,1389,hk00000925.png,
56,S6H,57,1241,hk00000926.png,
57,S6H,58,1242,hk00000927.png,
58,S6H,59,1243,hk00000928.png,
59,S6H,60,1254,hk00000929.png,
60,S6H,61,1268,hk00000930.png,
61,S6H,62,1270,hk00000931.png,
62,S6H,63,1255,hk00000932.png,
63,S6H,64,1250,hk00000933.png,
64,S6H,65,1256,hk00000934.png,
65,S6H,66,1251,hk00000935.png,
66,S6H,67,1266,hk00000936.png,
67,S6H,68,1262,hk00000937.png,
68,S6H,69,1264,hk00000938.png,
69,S6H,70,1273,hk00000939.png,
70,S8a,1,1432,hk00002271.png,
71,S8a,2,1438,hk00002272.png,
72,S8a,3,140,hk00002273.png,3
73,S8a,4,1428,hk00002274.png,
74,S8a,5,1449,hk00002275.png,
75,S8a,6,1444,hk00002276.png,
76,S8a,7,1430,hk00002277.png,
77,S8a,8,1447,hk00002278.png,
78,S8a,9,1431,hk00002279.png,
79,S8a,10,1429,hk00002280.png,
80,S8a,11,1437,hk00002281.png,
81,S8a,12,1439,hk00002282.png,
82,S8a,13,1446,hk00002283.png,
83,S8a,14,1440,hk00002284.png,
84,S8a,15,1441,hk00002285.png,
85,S8a,16,1448,hk00002286.png,
86,S8a,17,1442,hk00002287.png,
87,S8a,18,1443,hk00002288.png,
88,S8a,19,1445,hk00002289.png,
89,S8a,20,132,hk00002290.png,
90,S8a,21,1435,hk00002291.png,
91,S8a,22,1436,hk00002292.png,
92,S8a,23,1433,hk00002293.png,
93,S8a,24,1434,hk00002294.png,
94,S8a,29,140,hk00002296.png,
95,S9a,3,2052,hk00006794.png,
96,S9a,15,2077,hk00006805.png,
97,S9a,16,2078,hk00006806.png,
98,S9a,18,1878,hk00006808.png,
99,S9a,25,1888,hk00006815.png,
100,S9a,33,1902,hk00006822.png,
101,S9a,34,1903,hk00006823.png,
102,S9a,35,1909,hk00006824.png,
103,S9a,36,186,hk00006825.png,
104,S9a,37,2134,hk00006826.png,
105,S9a,38,2135,hk00006827.png,
106,S9a,46,1923,hk00006834.png,
107,S9a,51,1933,hk00006839.png,
108,S9a,58,1957,hk00006846.png,
109,S9a,60,1959,hk00006848.png,
110,S9a,61,1989,hk00006849.png,
111,S10P,18,2087,hk00006990.png,
112,S10a,14,2100,hk00007053.png,
113,S10a,15,2101,hk00007054.png,
114,SPZ,1,228,hk00007455.png,
115,SPZ,5,241,hk00007459.png,
116,SPD,8,106,hk00007442.png,
117,SPD,17,1837,hk00007451.png,
118,SPD,18,140,hk00007452.png,
119,S12,1,2374,hk00007598.png,
120,S12,2,2375,hk00007599.png,
121,S12,3,2376,hk00007600.png,
122,S12,4,2377,hk00007601.png,
123,S12,5,2378,hk00007602.png,
124,S12,6,2216,hk00007603.png,
125,S12,7,2217,hk00007604.png,
126,S12,8,2226,hk00007605.png,
127,S12,9,2227,hk00007606.png,
128,S12,10,2233,hk00007607.png,
129,S12,11,248,hk00007608.png,
130,S12,12,2234,hk00007609.png,
131,S12,13,2387,hk00007610.png,
132,S12,14,2388,hk00007611.png,
133,S12,15,2241,hk00007612.png,
134,S12,16,2242,hk00007613.png,
